"vaccines_are_safe","age","party","education","books","trump_approval","climate_change"
"Strongly Agree",49,"Independent","Some college",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Disagree",58,"Republican","Some college",50,"Strongly Approve","Not Real At All"
"Strongly Agree",60,"Republican","High school",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",47,"Independent","Graduate degree",5,"Somewhat Approve","Real and Caused by People"
"Somewhat Disagree",55,"Republican","Graduate degree",8,"Strongly Approve","Not Real At All"
"Somewhat Agree",58,"Democrat","Other",120,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",61,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",61,"Republican","Graduate degree",20,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",57,"Republican","Graduate degree",30,"Somewhat Approve","Not Real At All"
"Somewhat Disagree",69,"Democrat","High school",2,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",58,"Independent","College degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",63,"Independent","High school",4,"Strongly Approve","Real and Caused by People"
"Strongly Disagree",66,"Republican","High school",2,"Strongly Approve","Not Real At All"
"Strongly Agree",44,"Independent","High school",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",70,"Independent","Graduate degree",6,"Somewhat Approve","Not Real At All"
"Somewhat Disagree",63,"Democrat","College degree",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",60,"Republican","College degree",15,"Strongly Approve","Not Real At All"
"Strongly Agree",60,"Independent","High school",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",52,"Independent","Graduate degree",8,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",38,"Independent","High school",4,"Strongly Approve","Real and Caused by People"
"Strongly Disagree",61,"Independent","Some college",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",62,"Independent","High school",10,"Strongly Approve","Real and Caused by People"
"Strongly Agree",40,"Independent","Graduate degree",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",40,"Republican","College degree",15,"Strongly Approve","Real and Caused by People"
"Strongly Agree",61,"Republican","College degree",25,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",68,"Democrat","High school",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",32,"Democrat","Some college",30,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",55,"Republican","Some college",0,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",58,"Republican","High school",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",60,"Independent","Some college",40,"Strongly Approve","Not Real At All"
"Strongly Agree",58,"Independent","College degree",60,"Strongly Approve","Not Real At All"
"Strongly Agree",55,"Independent","Some college",7,"Strongly Approve","Not Real At All"
"Strongly Agree",55,"Independent","Graduate degree",10,"Strongly Approve","Not Real At All"
"Strongly Agree",59,"Republican","Some college",5,"Strongly Approve","Real and Caused by People"
"Strongly Agree",57,"Independent","College degree",17,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",62,"Democrat","High school",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",34,"Independent","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",40,"Republican","Graduate degree",150,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",33,"Democrat","High school",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Democrat","Some college",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",51,"Democrat","High school",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",63,"Republican","Graduate degree",10,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",63,"Republican","Some college",2,"Strongly Approve","Not Real At All"
"Strongly Disagree",62,"Democrat","Some college",100,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",35,"Democrat","College degree",4,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",57,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",50,"Independent","High school",6,"Somewhat Approve","Not Real At All"
"Strongly Agree",65,"Independent","College degree",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",55,"Democrat","High school",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",51,"Independent","Graduate degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",80,"Democrat","College degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",61,"Independent","College degree",5,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",22,"Republican","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",61,"Democrat","Graduate degree",8,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Independent","Some college",4,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",54,"Republican","College degree",12,"Strongly Approve","Not Real At All"
"Somewhat Agree",54,"Democrat","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Republican","College degree",3,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",56,"Democrat","High school",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",64,"Democrat","High school",6,"Somewhat disapprove","Not Real At All"
"Strongly Disagree",29,"Democrat","College degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",20,"Democrat","Some college",15,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",28,"Democrat","Some college",100,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",50,"Republican","Graduate degree",70,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",58,"Independent","Other",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",36,"Independent","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",43,"Democrat","High school",0,"Strongly disapprove","Not Real At All"
"Strongly Agree",63,"Republican","College degree",3,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",45,"Independent","College degree",2,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",78,"Independent","Some college",100,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",18,"Independent","High school",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",68,"Independent","Graduate degree",30,"Somewhat Approve","Not Real At All"
"Somewhat Agree",64,"Republican","Graduate degree",15,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",71,"Republican","College degree",4,"Strongly Approve","Not Real At All"
"Strongly Agree",66,"Democrat","Some college",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",31,"Independent","High school",1,"Somewhat Approve","Not Real At All"
"Strongly Agree",60,"Republican","College degree",5,"Strongly Approve","Real but not Caused by People"
"Strongly Disagree",39,"Independent","Graduate degree",1,"Strongly Approve","Not Real At All"
"Strongly Disagree",67,"Independent","College degree",2,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",20,"Independent","Some college",25,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",57,"Democrat","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",29,"Independent","High school",0,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",61,"Independent","Some college",7,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",66,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",63,"Independent","College degree",700,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Democrat","College degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Independent","High school",50,"Strongly Approve","Not Real At All"
"Strongly Agree",21,"Democrat","Graduate degree",17,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",61,"Republican","College degree",15,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",72,"Independent","College degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",28,"Republican","College degree",15,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",29,"Independent","College degree",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",33,"Democrat","Graduate degree",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",32,"Independent","College degree",7,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",51,"Independent","High school",0,"Somewhat Approve","Real and Caused by People"
"Strongly Disagree",41,"Independent","High school",0,"Strongly Approve","Not Real At All"
"Strongly Agree",59,"Republican","High school",1,"Strongly Approve","Not Real At All"
"Strongly Agree",70,"Republican","Graduate degree",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",65,"Independent","Graduate degree",9,"Strongly Approve","Not Real At All"
"Strongly Disagree",60,"Independent","Some college",14,"Strongly Approve","Not Real At All"
"Strongly Agree",32,"Independent","High school",5,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",36,"Democrat","High school",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Independent","Other",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",61,"Democrat","College degree",5,"Somewhat Approve","Real and Caused by People"
"Somewhat Disagree",23,"Independent","High school",70,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",55,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",58,"Democrat","Some college",20,"Somewhat Approve","Real and Caused by People"
"Somewhat Disagree",24,"Republican","Graduate degree",5,"Strongly Approve","Not Real At All"
"Strongly Agree",34,"Democrat","College degree",3,"Strongly disapprove","Not Real At All"
"Strongly Disagree",77,"Independent","College degree",2,"Somewhat disapprove","Real and Caused by People"
"Somewhat Disagree",36,"Independent","Some college",5,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",19,"Republican","Graduate degree",5,"Strongly Approve","Real and Caused by People"
"Strongly Agree",54,"Democrat","Some college",5,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",23,"Republican","Some college",30,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",19,"Independent","Some college",7,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",67,"Independent","College degree",0,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",38,"Independent","Some college",12,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",99,"Independent","College degree",25,"Strongly Approve","Not Real At All"
"Strongly Agree",25,"Democrat","Graduate degree",23,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",42,"Republican","College degree",6,"Strongly Approve","Real and Caused by People"
"Strongly Agree",71,"Democrat","Graduate degree",13,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",48,"Democrat","Some college",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Democrat","High school",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",82,"Independent","High school",3,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",26,"Independent","Graduate degree",55,"Strongly Approve","Not Real At All"
"Strongly Agree",65,"Democrat","College degree",70,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",58,"Republican","Graduate degree",12,"Neither approve nor disapprove","Not Real At All"
"Strongly Agree",72,"Independent","Some college",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",40,"Democrat","Graduate degree",3,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",42,"Independent","Graduate degree",4,"Neither approve nor disapprove","Real but not Caused by People"
"Somewhat Disagree",22,"Republican","High school",10,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",58,"Independent","College degree",0,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",20,"Independent","Some college",5,"Somewhat disapprove","Real and Caused by People"
"Strongly Disagree",42,"Democrat","College degree",20,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",23,"Independent","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Republican","Graduate degree",50,"Strongly Approve","Not Real At All"
"Strongly Agree",53,"Independent","Some college",25,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",83,"Republican","Some college",0,"Somewhat disapprove","Not Real At All"
"Strongly Agree",35,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",53,"Independent","Some college",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",40,"Independent","College degree",0,"Somewhat Approve","Not Real At All"
"Strongly Agree",48,"Democrat","Some college",4,"Somewhat disapprove","Not Real At All"
"Somewhat Agree",48,"Independent","Graduate degree",3,"Strongly Approve","Not Real At All"
"Strongly Agree",65,"Republican","College degree",10,"Strongly Approve","Not Real At All"
"Somewhat Agree",43,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",23,"Democrat","Some college",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",42,"Independent","Graduate degree",7,"Strongly Approve","Not Real At All"
"Somewhat Agree",70,"Democrat","Other",40,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",65,"Democrat","Some college",3,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",47,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Republican","College degree",7,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",38,"Independent","High school",0,"Strongly disapprove","Not Real At All"
"Strongly Agree",46,"Independent","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",51,"Republican","Graduate degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",51,"Independent","College degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",28,"Democrat","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",28,"Independent","Some college",5,"Somewhat Approve","Real but not Caused by People"
"Somewhat Disagree",49,"Republican","High school",1,"Somewhat Approve","Not Real At All"
"Strongly Agree",69,"Democrat","Some college",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",38,"Independent","College degree",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",46,"Independent","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",49,"Democrat","High school",10,"Strongly disapprove","Real but not Caused by People"
"Somewhat Agree",45,"Republican","Graduate degree",26,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",27,"Independent","College degree",30,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",41,"Democrat","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",24,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",32,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Independent","High school",400,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",51,"Democrat","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",44,"Republican","Some college",10,"Somewhat Approve","Real and Caused by People"
"Neither Agree nor Disagree",45,"Democrat","College degree",10,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",49,"Democrat","Graduate degree",25,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",18,"Independent","High school",40,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",30,"Independent","Some college",5,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",29,"Independent","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",21,"Republican","Some college",5,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",75,"Independent","College degree",4,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",50,"Democrat","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",87,"Republican","Some college",20,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",72,"Democrat","College degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Independent","College degree",100,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",18,"Democrat","College degree",30,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",41,"Democrat","Some college",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",21,"Independent","Some college",2,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",70,"Democrat","Some college",0,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",22,"Independent","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",97,"Independent","College degree",5,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",35,"Independent","College degree",7,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",40,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",28,"Independent","Some college",30,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",50,"Independent","College degree",7,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",29,"Independent","Some college",3,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",27,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Independent","Graduate degree",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",20,"Democrat","Some college",7,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",34,"Democrat","Some college",60,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",34,"Independent","College degree",18,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",34,"Democrat","High school",1,"Strongly Approve","Real and Caused by People"
"Neither Agree nor Disagree",33,"Independent","Graduate degree",4,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",36,"Democrat","College degree",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",74,"Republican","High school",10,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",21,"Democrat","Other",4,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",29,"Republican","College degree",0,"Somewhat disapprove","Real and Caused by People"
"Strongly Disagree",37,"Independent","High school",0,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",79,"Independent","High school",35,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",23,"Independent","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",77,"Democrat","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",36,"Republican","Some college",10,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",69,"Republican","Some college",3,"Strongly Approve","Not Real At All"
"Strongly Agree",20,"Democrat","High school",100,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",34,"Independent","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",23,"Independent","Some college",9,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",51,"Independent","College degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",68,"Republican","High school",4,"Strongly Approve","Real and Caused by People"
"Strongly Agree",68,"Democrat","College degree",300,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",44,"Democrat","High school",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",19,"Democrat","College degree",9,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",20,"Republican","Some college",12,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",31,"Republican","Some college",0,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",67,"Republican","Graduate degree",150,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",85,"Republican","Some college",0,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",28,"Independent","College degree",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",50,"Republican","High school",6,"Strongly Approve","Real and Caused by People"
"Strongly Agree",39,"Democrat","Graduate degree",25,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",34,"Independent","Some college",36,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",50,"Independent","High school",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",49,"Democrat","Graduate degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Democrat","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Democrat","Graduate degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Independent","Graduate degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",49,"Democrat","College degree",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Republican","College degree",4,"Somewhat Approve","Real and Caused by People"
"Strongly Disagree",70,"Independent","Graduate degree",25,"Somewhat Approve","Not Real At All"
"Strongly Agree",27,"Democrat","Graduate degree",27,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Republican","Some college",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",73,"Independent","High school",3,"Somewhat disapprove","Not Real At All"
"Somewhat Agree",44,"Republican","Some college",6,"Strongly Approve","Real and Caused by People"
"Strongly Agree",45,"Democrat","College degree",18,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","Graduate degree",12,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",80,"Democrat","High school",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Democrat","Other",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",80,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",32,"Independent","High school",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",24,"Independent","Some college",30,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",54,"Republican","Graduate degree",3,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",43,"Independent","High school",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",43,"Democrat","College degree",7,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",31,"Democrat","College degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",31,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",71,"Republican","College degree",10,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",40,"Independent","Graduate degree",6,"Strongly disapprove","Real but not Caused by People"
"Somewhat Agree",28,"Republican","College degree",1,"Neither approve nor disapprove","Real but not Caused by People"
"Somewhat Disagree",47,"Independent","High school",3,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",22,"Democrat","Graduate degree",20,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",71,"Democrat","High school",9,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",77,"Republican","Some college",30,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",68,"Democrat","College degree",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",46,"Democrat","College degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",25,"Democrat","Graduate degree",8,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",46,"Independent","Graduate degree",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",50,"Independent","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",25,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",29,"Democrat","High school",25,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",20,"Republican","Some college",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",40,"Independent","Some college",3,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",32,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Republican","Some college",10,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",35,"Republican","High school",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",19,"Democrat","Some college",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",67,"Democrat","Some college",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",35,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Republican","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",91,"Democrat","High school",1,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",21,"Republican","Some college",4,"Strongly Approve","Not Real At All"
"Strongly Agree",67,"Republican","High school",15,"Strongly Approve","Real and Caused by People"
"Strongly Agree",32,"Independent","Some college",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",30,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",71,"Democrat","Graduate degree",40,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",73,"Independent","Graduate degree",3,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",38,"Republican","College degree",20,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",30,"Democrat","Some college",15,"Somewhat disapprove","Not Real At All"
"Neither Agree nor Disagree",20,"Independent","Some college",5,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",45,"Independent","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",75,"Republican","High school",100,"Strongly Approve","Real and Caused by People"
"Strongly Agree",48,"Democrat","Other",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",21,"Independent","Some college",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Disagree",46,"Independent","High school",12,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",92,"Independent","High school",0,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",71,"Republican","College degree",2,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",36,"Democrat","High school",200,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",30,"Democrat","High school",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",36,"Republican","College degree",6,"Strongly Approve","Real but not Caused by People"
"Strongly Disagree",48,"Independent","College degree",90,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",43,"Independent","High school",0,"Strongly Approve","Real and Caused by People"
"Somewhat Disagree",27,"Republican","High school",4,"Strongly Approve","Real and Caused by People"
"Strongly Agree",36,"Democrat","Graduate degree",40,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",48,"Democrat","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",46,"Democrat","Graduate degree",6,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",99,"Republican","College degree",15,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",84,"Independent","Graduate degree",10,"Strongly Approve","Real and Caused by People"
"Strongly Disagree",37,"Independent","High school",0,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",44,"Republican","Some college",10,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",65,"Democrat","College degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",38,"Independent","High school",30,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",68,"Independent","College degree",15,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",51,"Republican","College degree",8,"Strongly Approve","Not Real At All"
"Strongly Agree",54,"Democrat","Some college",0,"Strongly Approve","Not Real At All"
"Strongly Agree",37,"Republican","Graduate degree",16,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",66,"Democrat","College degree",50,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",65,"Independent","Some college",100,"Strongly Approve","Real and Caused by People"
"Strongly Agree",72,"Republican","Some college",52,"Strongly Approve","Real and Caused by People"
"Strongly Agree",65,"Democrat","Some college",10,"Somewhat disapprove","Real and Caused by People"
"Neither Agree nor Disagree",22,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",51,"Republican","High school",0,"Strongly Approve","Not Real At All"
"Strongly Agree",43,"Independent","Some college",18,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",32,"Democrat","College degree",2,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",65,"Independent","College degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",71,"Independent","Some college",1,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",65,"Independent","High school",6,"Strongly Approve","Real but not Caused by People"
"Strongly Disagree",40,"Democrat","Graduate degree",20,"Strongly disapprove","Real but not Caused by People"
"Somewhat Agree",79,"Democrat","Some college",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",68,"Republican","High school",3,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",51,"Democrat","College degree",12,"Strongly disapprove","Real and Caused by People"
